"","Instrument","Holdings Filing Date","Earliest Holdings Date","Holdings Pct Of Traded Shares Held","Investor Shares Held","Holdings Value Held","Investor Full Name","Holdings Filing Type","Investor Parent Type Description","Investor Turnover","Investor Turnover code","Investor Turnover %","Investor Portfolio Number Of Securities Held","Investor Portfolio Num Of  Securities Bought","Investor Portfolio Number Of Securities Sold","Holdings Percent of  Portfolio","Investor Type Description","Investor Investment Style Code","Investor Investment Orientation","Investor Address Region","Investor Address Country"
"0","ENI.MI","2020-12-31","1997-06-19","30.33","1093576917","11493219915.95","Italian Government","Shareholder Report","Strategic Entities","LOW","LOW","0.272","14251","7400","4096","26.43","Government Agency",".","Passive","Europe","Italy"
"1","ENI.MI","2020-12-31","2007-03-31","1.8392","66313019","696933246.13","The Vanguard Group, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","10.2975","12897","7577","6095","0.02","Investment Advisor/Hedge Fund","Index","Passive","North America","United States"
"2","ENI.MI","2020-12-31","2000-09-30","1.5692","56580770","594649742.98","BlackRock Institutional Trust Company, N.A.","Aggregate MFs","Investment Managers","LOW","LOW","12.5256","3432","1245","1878","0.03","Investment Advisor","Index","Passive","North America","United States"
"3","ENI.MI","2020-03-18","1999-12-31","1.549","56293531","572434494.11","Norges Bank Investment Management (NBIM)","Trade Report","Investment Managers","LOW","LOW","15.1439","7613","3052","2904","0.09","Sovereign Wealth Fund","Core Value","Active","Europe","Norway"
"4","ENI.MI","2020-03-18","2014-03-21","1.014","36850639","374724706.71","Government of People's Republic of China","Trade Report","Strategic Entities","LOW","LOW","14.446","10272","4991","5113","0.13","Government Agency",".","Passive","Asia / Pacific","China (Mainland)"
"5","ENI.MI","2020-09-21","2009-12-31","0.9962","35578674","278829341.48","UniCredit Bank AG","Trade Report","Investment Managers","MED","MED","96.8846","11429","6730","3335","0.76","Bank and Trust",".","Active","Europe","Germany"
"6","ENI.MI","2020-12-31","2007-03-31","0.761","27438505","288371825.73","Schroder Investment Management Ltd. (SIM)","Aggregate MFs","Investment Managers","MED","MED","52.8303","1297","588","736","0.06","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","United Kingdom"
"7","ENI.MI","2020-12-31","2007-03-31","0.536","19326470","203116366.54","MFS Investment Management","Aggregate MFs","Investment Managers","LOW","LOW","23.2739","17456","6599","4060","0.12","Investment Advisor/Hedge Fund","Core Growth","Active","North America","United States"
"8","ENI.MI","2020-12-31","2007-03-31","0.5335","19234515","202149942.48","BlackRock Advisors (UK) Limited","Aggregate MFs","Investment Managers","LOW","LOW","40.2556","14926","5454","5808","0.18","Investment Advisor/Hedge Fund","Index","Passive","Europe","United Kingdom"
"9","ENI.MI","2020-12-31","2003-06-30","0.3411","12297815","129246960.21","Geode Capital Management, L.L.C.","Aggregate MFs","Investment Managers","LOW","LOW","8.9986","9687","5896","3144","0.05","Investment Advisor/Hedge Fund","Index","Passive","North America","United States"
